id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,DecisionTree,RandomForest,VotingClassifierSoft
380110,Male,30,1,28.0,1,< 1 Year,No,50094.0,152.0,38,0,0,0,0
380111,Male,45,1,8.0,1,1-2 Year,No,44110.0,26.0,110,0,0,0,0
380112,Female,20,1,37.0,0,< 1 Year,Yes,47019.0,160.0,104,0,1,1,1
380113,Female,22,1,28.0,0,< 1 Year,Yes,2630.0,160.0,42,1,1,1,1
380114,Female,32,1,30.0,1,< 1 Year,No,31210.0,152.0,136,0,0,0,0
380115,Male,50,1,28.0,0,1-2 Year,Yes,50308.0,26.0,121,0,1,1,1
380116,Female,26,1,36.0,1,< 1 Year,No,29637.0,152.0,130,0,0,0,0
380117,Male,21,1,35.0,1,< 1 Year,No,27024.0,160.0,148,0,0,0,0
380118,Male,24,1,10.0,0,< 1 Year,No,30499.0,152.0,281,0,1,1,1
380119,Female,22,1,13.0,0,< 1 Year,Yes,29259.0,152.0,236,1,1,1,1
380120,Female,21,1,28.0,1,< 1 Year,No,92283.0,152.0,15,0,0,0,0
380121,Female,23,1,13.0,1,< 1 Year,No,24636.0,152.0,122,0,0,0,0
380122,Male,28,1,21.0,1,< 1 Year,No,22765.0,152.0,204,0,0,0,0
380123,Female,22,1,18.0,0,< 1 Year,Yes,25530.0,152.0,59,0,1,1,1
380124,Male,46,1,28.0,0,1-2 Year,Yes,2630.0,122.0,275,1,1,1,1
380125,Female,22,1,28.0,0,< 1 Year,Yes,27441.0,152.0,103,0,1,1,1
380126,Female,25,1,36.0,1,< 1 Year,No,32301.0,152.0,53,0,0,0,0
380127,Female,23,1,8.0,1,< 1 Year,No,38528.0,152.0,71,0,0,0,0
380128,Male,46,1,8.0,0,1-2 Year,Yes,31243.0,124.0,269,0,1,1,1
380129,Female,22,1,8.0,0,< 1 Year,Yes,46472.0,152.0,176,0,1,1,1
380130,Male,39,1,28.0,1,1-2 Year,No,33726.0,26.0,10,0,0,0,0
380131,Male,40,1,32.0,1,1-2 Year,No,27859.0,124.0,295,0,0,0,0
380132,Female,33,1,28.0,0,1-2 Year,Yes,43090.0,124.0,210,0,1,1,1
380133,Female,45,1,28.0,0,1-2 Year,Yes,30711.0,26.0,22,1,1,1,1
380134,Female,23,1,47.0,1,< 1 Year,No,36293.0,152.0,191,0,0,0,0
380135,Male,33,1,6.0,0,1-2 Year,Yes,2630.0,157.0,157,1,1,1,1
380136,Female,25,1,15.0,0,< 1 Year,No,35279.0,152.0,60,0,1,1,1
